Character,Country,Popularity_Score,Avg_Episodes_Watched_Per_Year,Merchandise_Revenue_MillionUSD
Shinchan,Canada,74.06677446676758,80,3.949924724368964
Paw Patrol,France,80.58192518328079,48,22.31606244865129
SpongeBob SquarePants,Russia,37.853437720835345,127.5,258.92694939230086
Motu Patlu,UK,83.41104266407503,50,27.430804382862224
Mr Bean,Egypt,76.83135775923722,9,40.715313915210565
Mr Bean,Russia,74.49889820916066,100,89.88446547664522
Shinchan,China,42.215996679968406,53,47.33693889068305
Shinchan,France,29.350012864742613,5,87.70944109744121
Motu Patlu,Australia,53.937903011962575,72,60.295513861562675
Motu Patlu,Saudi Arabia,48.59904633166138,73,13.710754985476516
Mickey Mouse,Australia,67.16869596382831,71,76.62796725880435
Doraemon,Canada,33.04284890804987,60.0,22.20944392967342
Pokemon,UK,41.1102276049738,11,295.29706777569197
Mr Bean,China,24.98064478821005,61,85.7407223543689
Shinchan,Brazil,86.46503940302155,26,98.54557553419286
Paw Patrol,Australia,57.91802908162562,100,5.9640913891314025
Paw Patrol,UAE,40.37755513182775,77,59.85739619981068
Motu Patlu,Canada,64.55007888376495,14,62.49476629381619
Tom and Jerry,Canada,83.37449546398071,124.5,80.90289438324909
Shinchan,UK,15.544790977499046,31,21.15613392041784
Doraemon,France,13.081966070170225,37.5,55.616361691512736
Tom and Jerry,Saudi Arabia,4.1828858168857845,15.0,21.797577295635648
Mickey Mouse,Canada,81.07717199403969,8,277.57272668673903
Mr Bean,UK,47.06900210859904,63,82.23310171618463
Motu Patlu,France,67.95181183602637,47,12.418833433291331
Shinchan,Italy,11.564578402933046,29,71.16974309958289
Mr Bean,Italy,12.462531566436773,69,41.43089795330247
Mickey Mouse,UAE,83.37251693040575,31,175.25548001511754
Pokemon,Brazil,66.38538363049987,16,226.08802684959744
Mr Bean,Japan,57.567089940931815,54,25.154459518265448
Shinchan,Nigeria,91.74700144554402,22,67.09019552604896
Peppa Pig,South Korea,89.72081032332622,65,75.42590186355064
Mr Bean,Germany,89.30268327903168,24,69.70103141760617
Mickey Mouse,Mexico,69.55229864979681,78,4.751136824445943
Mickey Mouse,UAE,27.293531176325658,54,204.70513985341984
Peppa Pig,Saudi Arabia,64.27496480093357,64,26.755475078011166
Motu Patlu,France,74.90242610828507,49,7.793218674824172
Doraemon,South Africa,21.796454090650364,78.0,61.11750189520224
Shinchan,Saudi Arabia,39.66544415166273,14,83.22659174425152
Shinchan,USA,37.05708762180562,48,42.58581534334093
Pokemon,Nigeria,80.8199218806756,66,248.2431757309644
Motu Patlu,Russia,33.63966198913752,46,21.999865167794162
Motu Patlu,Australia,48.85778468487874,93,71.47239824079955
Mr Bean,South Africa,99.6631463959332,50,27.820726270643437
Paw Patrol,Australia,72.45850010930516,72,98.0705524157888
Paw Patrol,USA,12.62794929584089,67,2.2142749341752888
Motu Patlu,Japan,62.94457069519983,24,94.96343859344509
